99,"2019,1,5,3,30,0,0,0.1,N/A"
100,"2019,1,5,4,30,0,0,0.1,N/A"
101,"2019,1,5,5,30,0,0,0.1,N/A"
102,"2019,1,5,6,30,0,0,0.1,N/A"
103,"2019,1,5,7,30,1,35,0.1,N/A"
104,"2019,1,5,8,30,15,0,0.1,N/A"
105,"2019,1,5,9,30,34,0,0.2,N/A"
106,"2019,1,5,10,30,146,27,0.2,N/A"
107,"2019,1,5,11,30,168,36,0.2,N/A"
108,"2019,1,5,12,30,19,0,0.2,N/A"
109,"2019,1,5,13,30,61,0,0.30000000000000004,N/A"
110,"2019,1,5,14,30,11,0,0.2,N/A"
111,"2019,1,5,15,30,6,0,0.2,N/A"
112,"2019,1,5,16,30,0,0,0.2,N/A"
113,"2019,1,5,17,30,0,0,0.2,N/A"
114,"2019,1,5,18,30,0,0,0.2,N/A"
115,"2019,1,5,19,30,0,0,0.30000000000000004,N/A"
116,"2019,1,5,20,30,0,0,0.30000000000000004,N/A"
117,"2019,1,5,21,30,0,0,0.30000000000000004,N/A"
118,"2019,1,5,22,30,0,0,0.30000000000000004,N/A"
119,"2019,1,5,23,30,0,0,0.2,N/A"
120,"2019,1,6,0,30,0,0,0.2,N/A"
121,"2019,1,6,1,30,0,0,0.2,N/A"
122,"2019,1,6,2,30,0,0,0.2,N/A"
123,"2019,1,6,3,30,0,0,0.2,N/A"
124,"2019,1,6,4,30,0,0,0.2,N/A"
125,"2019,1,6,5,30,0,0,0.2,N/A"
126,"2019,1,6,6,30,0,0,0.2,N/A"
127,"2019,1,6,7,30,1,37,0.2,N/A"
128,"2019,1,6,8,30,16,0,0.2,N/A"
129,"2019,1,6,9,30,67,0,0.2,N/A"
130,"2019,1,6,10,30,91,0,0.30000000000000004,N/A"
131,"2019,1,6,11,30,181,83,0.4,N/A"
132,"2019,1,6,12,30,143,3,0.4,N/A"
133,"2019,1,6,13,30,147,269,0.4,N/A"
134,"2019,1,6,14,30,69,0,0.4,N/A"
135,"2019,1,6,15,30,35,642,0.4,N/A"
136,"2019,1,6,16,30,0,0,0.5,N/A"
137,"2019,1,6,17,30,0,0,0.5,N/A"
138,"2019,1,6,18,30,0,0,0.5,N/A"
139,"2019,1,6,19,30,0,0,0.5,N/A"
140,"2019,1,6,20,30,0,0,0.5,N/A"
141,"2019,1,6,21,30,0,0,0.5,N/A"
142,"2019,1,6,22,30,0,0,0.4,N/A"
143,"2019,1,6,23,30,0,0,0.4,N/A"
144,"2019,1,7,0,30,0,0,0.4,N/A"
145,"2019,1,7,1,30,0,0,0.4,N/A"
146,"2019,1,7,2,30,0,0,0.30000000000000004,N/A"
147,"2019,1,7,3,30,0,0,0.30000000000000004,N/A"
148,"2019,1,7,4,30,0,0,0.30000000000000004,N/A"
149,"2019,1,7,5,30,0,0,0.4,N/A"
150,"2019,1,7,6,30,0,0,0.4,N/A"
151,"2019,1,7,7,30,0,291,0.30000000000000004,N/A"
152,"2019,1,7,8,30,61,216,0.30000000000000004,N/A"
153,"2019,1,7,9,30,94,412,0.30000000000000004,N/A"
154,"2019,1,7,10,30,133,404,0.30000000000000004,N/A"
155,"2019,1,7,11,30,154,401,0.30000000000000004,N/A"
156,"2019,1,7,12,30,162,342,0.2,N/A"
157,"2019,1,7,13,30,132,385,0.2,N/A"
158,"2019,1,7,14,30,86,432,0.2,N/A"
159,"2019,1,7,15,30,50,301,0.2,N/A"
160,"2019,1,7,16,30,0,0,0.2,N/A"
161,"2019,1,7,17,30,0,0,0.2,N/A"
162,"2019,1,7,18,30,0,0,0.2,N/A"
163,"2019,1,7,19,30,0,0,0.1,N/A"
164,"2019,1,7,20,30,0,0,0.1,N/A"
165,"2019,1,7,21,30,0,0,0.2,N/A"
166,"2019,1,7,22,30,0,0,0.2,N/A"
167,"2019,1,7,23,30,0,0,0.2,N/A"
168,"2019,1,8,0,30,0,0,0.2,N/A"
169,"2019,1,8,1,30,0,0,0.2,N/A"
170,"2019,1,8,2,30,0,0,0.2,N/A"
171,"2019,1,8,3,30,0,0,0.2,N/A"
172,"2019,1,8,4,30,0,0,0.2,N/A"
173,"2019,1,8,5,30,0,0,0.30000000000000004,N/A"
174,"2019,1,8,6,30,0,0,0.30000000000000004,N/A"
175,"2019,1,8,7,30,1,55,0.30000000000000004,N/A"
176,"2019,1,8,8,30,17,0,0.30000000000000004,N/A"
177,"2019,1,8,9,30,119,76,0.2,N/A"
178,"2019,1,8,10,30,27,0,0.2,N/A"
179,"2019,1,8,11,30,114,0,0.2,N/A"
180,"2019,1,8,12,30,114,0,0.1,N/A"
181,"2019,1,8,13,30,83,0,0.1,N/A"
182,"2019,1,8,14,30,82,0,0.1,N/A"
183,"2019,1,8,15,30,46,533,0.1,N/A"
184,"2019,1,8,16,30,0,0,0.1,N/A"
185,"2019,1,8,17,30,0,0,0.2,N/A"
186,"2019,1,8,18,30,0,0,0.2,N/A"
187,"2019,1,8,19,30,0,0,0.1,N/A"
188,"2019,1,8,20,30,0,0,0.1,N/A"
189,"2019,1,8,21,30,0,0,0.1,N/A"
190,"2019,1,8,22,30,0,0,0.1,N/A"
191,"2019,1,8,23,30,0,0,0.1,N/A"
192,"2019,1,9,0,30,0,0,0.1,N/A"
193,"2019,1,9,1,30,0,0,0.1,N/A"
194,"2019,1,9,2,30,0,0,0.1,N/A"
195,"2019,1,9,3,30,0,0,0.1,N/A"
196,"2019,1,9,4,30,0,0,0.1,N/A"
197,"2019,1,9,5,30,0,0,0.2,N/A"
198,"2019,1,9,6,30,0,0,0.30000000000000004,N/A"
199,"2019,1,9,7,30,13,92,0.4,N/A"
200,"2019,1,9,8,30,64,156,0.5,N/A"
201,"2019,1,9,9,30,119,183,0.5,N/A"
202,"2019,1,9,10,30,148,327,0.5,N/A"
203,"2019,1,9,11,30,126,556,0.5,N/A"
204,"2019,1,9,12,30,178,260,0.6000000000000001,N/A"
